Individual,BleachingStatus,Egg,Area,Max,Min,Average,depth_m,,
226,resistant,8,68452.083,338.515,261.161,299.838,5,,
226,resistant,9,42277.687,262.268,234.508,248.388,5,,
226,resistant,10,73311.349,484.336,230.026,357.181,5,,
226,resistant,11,62851.364,567.828,190.522,379.175,5,,
226,resistant,12,50102.7,481.768,148.598,315.183,5,,
226,resistant,13,41678.633,365.772,167.015,266.3935,5,,
226,resistant,14,76444.243,365.688,283.449,324.5685,5,,
226,resistant,15,66442.799,561.949,161.697,361.823,5,,
226,resistant,16,51081.463,488.965,182.907,335.936,5,,
226,resistant,17,70479.771,435.981,248.889,342.435,5,,
226,resistant,18,28829.404,221.032,172.932,196.982,5,,
226,resistant,19,67204.603,548.54,225.849,387.1945,5,,
226,resistant,20,48828.588,413.345,163.388,288.3665,5,,
226,resistant,21,77465.217,441.872,287.409,364.6405,5,,
226,resistant,22,80384.671,493.341,255.442,374.3915,5,,
226,resistant,23,54225.978,423.262,177.482,300.372,5,,
226,resistant,24,103857.513,430.151,366.735,398.443,5,,
226,resistant,25,91493.521,513.583,234.053,373.818,5,,
228,resistant,1,58566.459,542.987,166.571,354.779,5,,
228,resistant,2,65448.172,399.253,213.895,306.574,5,,
228,resistant,3,53917.059,385.257,190.832,288.0445,5,,
228,resistant,4,54018.75,434.436,156.049,295.2425,5,,
228,resistant,5,84071.522,553.248,241.674,397.461,5,,
228,resistant,6,38638.795,401.993,148.034,275.0135,5,,
228,resistant,7,73553.371,506.006,191.63,348.818,5,,
228,resistant,8,73302.997,452.232,231.721,341.9765,5,,
228,resistant,9,71905.201,628.063,155.06,391.5615,5,,
228,resistant,10,69163.493,340.156,283.413,311.7845,5,,
228,resistant,11,70490.3,601.924,167.303,384.6135,5,,
228,resistant,12,81930.436,543.811,211.921,377.866,5,,
228,resistant,13,73823.858,565.581,199.366,382.4735,5,,
228,resistant,14,64818.039,512.264,161.492,336.878,5,,
228,resistant,15,77097.391,577.654,187.201,382.4275,5,,
228,resistant,16,88530.134,494.03,266.561,380.2955,5,,
228,resistant,17,75668.956,526.635,233.691,380.163,5,,
228,resistant,18,79361.91,486.097,230.148,358.1225,5,,
228,resistant,19,86414.737,702.446,180.882,441.664,5,,
228,resistant,20,86883.53,491.964,240.364,366.164,5,,
228,resistant,21,87581.018,479.707,262.148,370.9275,5,,
228,resistant,22,78704.396,455.956,220.871,338.4135,5,,
228,resistant,23,74013.455,468.316,197.402,332.859,5,,
228,resistant,24,74186.261,374.513,254.208,314.3605,5,,
228,resistant,25,90190.522,603.441,229.223,416.332,5,,
230,resistant,1,52818.638,361.459,201.854,281.6565,5,,
230,resistant,2,35662.841,371.767,160.084,265.9255,5,,
230,resistant,3,58442.975,451.316,207.163,329.2395,5,,
230,resistant,4,49006.35,321.979,216.912,269.4455,5,,
230,resistant,5,50076.193,369.189,196.842,283.0155,5,,
230,resistant,6,35285.205,295.711,165.735,230.723,5,,
230,resistant,7,44492.811,384.558,153.189,268.8735,5,,
230,resistant,8,52155.577,390.977,188.456,289.7165,5,,
230,resistant,9,40233.102,378.369,185.487,281.928,5,,
230,resistant,10,40397.611,315.044,198.984,257.014,5,,
231,resistant,1,37868.625,255.625,213.123,234.374,5,,
231,resistant,2,29566.312,225.428,171.68,198.554,5,,
231,resistant,3,74090.438,462.336,256.401,359.3685,5,,
231,resistant,4,49905.188,458.743,146.491,302.617,5,,
231,resistant,5,54115.875,566.46,177.724,372.092,5,,
231,resistant,6,59293.375,431.723,169.17,300.4465,5,,
231,resistant,7,84947.438,742.391,190.745,466.568,5,,
231,resistant,8,29085.938,343.556,109.848,226.702,5,,
231,resistant,9,76262.875,558.778,226.784,392.781,5,,
231,resistant,10,59102.438,406.907,253.271,330.089,5,,
231,resistant,11,79560.75,677.504,177.374,427.439,5,,
231,resistant,12,49956.562,328.093,197.858,262.9755,5,,
231,resistant,13,52986.75,454.943,155.325,305.134,5,,
231,resistant,14,57307.75,556.663,161.673,359.168,5,,
231,resistant,15,50426.625,322.574,199.263,260.9185,5,,
248,resistant,1,39556.893,359.355,146.034,252.6945,5,,
248,resistant,2,31317.056,259.269,165.858,212.5635,5,,
248,resistant,3,41361.777,268,207.542,237.771,5,,
248,resistant,4,41656.2,281.186,221.678,251.432,5,,
248,resistant,5,57496.714,356.246,207.954,282.1,5,,
248,resistant,6,54349.351,436.075,185.482,310.7785,5,,
248,resistant,7,51365.709,284.193,247.801,265.997,5,,
248,resistant,8,27629.217,235.003,157.904,196.4535,5,,
248,resistant,9,42584.332,350.414,167.866,259.14,5,,
254,resistant,1,52957.544,326.728,205.599,266.1635,5,,
254,resistant,2,65917.088,393.882,207.333,300.6075,5,,
254,resistant,3,27747.389,247.867,175.848,211.8575,5,,
254,resistant,4,64310.598,328.277,254.612,291.4445,5,,
254,resistant,5,74541.659,339.494,283.059,311.2765,5,,
254,resistant,6,43109.543,269.4,217.854,243.627,5,,
254,resistant,7,34924.282,249.947,200.315,225.131,5,,
254,resistant,8,53285.854,466.404,183.457,324.9305,5,,
254,resistant,9,62166.236,475.014,189.444,332.229,5,,
254,resistant,10,38502.134,344.366,200.172,272.269,5,,
254,resistant,11,45725.964,346.301,216.886,281.5935,5,,
254,resistant,12,55426.716,409.596,187.891,298.7435,5,,
254,resistant,13,48418.385,361.76,186.89,274.325,5,,
254,resistant,14,26906.269,248.19,174.996,211.593,5,,
254,resistant,15,31791.551,318.713,142.1,230.4065,5,,
254,resistant,16,64353.348,464.312,174.378,319.345,5,,
254,resistant,17,74211.536,523.461,195.02,359.2405,5,,
254,resistant,18,64072.975,365.152,232.879,299.0155,5,,
254,resistant,19,45727.589,426.43,145.991,286.2105,5,,
254,resistant,20,78091.387,410.155,297.1,353.6275,5,,
254,resistant,21,68696.758,416.318,287.1,351.709,5,,
254,resistant,22,35114.781,236.726,192.839,214.7825,5,,
254,resistant,23,52209.986,444.766,187.466,316.116,5,,
254,resistant,24,65168.593,416.203,213.185,314.694,5,,
254,resistant,25,25471.091,257.846,145.673,201.7595,5,,
255,resistant,1,54277.234,335.905,217.248,276.5765,5,,
255,resistant,2,71634.098,461.589,241.802,351.6955,5,,
255,resistant,3,24523.464,235.415,155.907,195.661,5,,
255,resistant,4,47945.804,416.485,198.468,307.4765,5,,
255,resistant,5,83928.053,440.659,253.508,347.0835,5,,
255,resistant,6,8115.967,123.57,83.348,103.459,5,,
255,resistant,7,62772.596,479.403,170.86,325.1315,5,,
255,resistant,8,61927.249,453.267,207.22,330.2435,5,,
255,resistant,9,82306.141,526.354,228.282,377.318,5,,
255,resistant,10,62517.195,427.03,197.606,312.318,5,,
255,resistant,11,36637.835,242.907,198.73,220.8185,5,,
255,resistant,12,52577.81,526.358,133.487,329.9225,5,,
255,resistant,13,109497.805,624.714,239.083,431.8985,5,,
255,resistant,14,99997.613,529.294,267.219,398.2565,5,,
255,resistant,15,69215.771,406.504,238.85,322.677,5,,
255,resistant,16,81048.486,515.862,205.43,360.646,5,,
255,resistant,17,80660.925,567.121,177.601,372.361,5,,
255,resistant,18,96703.664,499.504,242.278,370.891,5,,
255,resistant,19,74986.841,559.919,223.096,391.5075,5,,
259,resistant,1,56508.658,317.991,261.823,289.907,5,,
259,resistant,2,64698.857,390.65,253.906,322.278,5,,
259,resistant,3,78530.205,451.994,220.308,336.151,5,,
259,resistant,4,36076.767,327.795,150.53,239.1625,5,,
259,resistant,5,62197.925,332.26,253.945,293.1025,5,,
259,resistant,6,75335.228,432.624,285.752,359.188,5,,
259,resistant,7,71442.445,386.598,263.353,324.9755,5,,
259,resistant,8,68033.809,346.222,270.114,308.168,5,,
259,resistant,9,55333.849,384.704,185.538,285.121,5,,
259,resistant,10,72615.186,430.057,232.722,331.3895,5,,
259,resistant,11,82914.966,437.951,245.512,341.7315,5,,
259,resistant,12,58071.247,370.7,239.603,305.1515,5,,
259,resistant,13,70959.427,439.183,219.337,329.26,5,,
259,resistant,14,75540.49,377.799,253.983,315.891,5,,
259,resistant,15,58625.192,343.028,260.892,301.96,5,,
259,resistant,16,68968.017,377.382,295.187,336.2845,5,,
259,resistant,17,91985.301,448.491,276.788,362.6395,5,,
259,resistant,18,57065.799,313.034,248.976,281.005,5,,
259,resistant,19,77686.035,490.357,204.542,347.4495,5,,
259,resistant,20,27509.5,216.021,175.018,195.5195,5,,
259,resistant,21,55326.017,408.991,211.263,310.127,5,,
259,resistant,22,49542.89,429.127,152.99,291.0585,5,,
259,resistant,23,40236.403,293.498,182.036,237.767,5,,
259,resistant,24,67241.707,375.836,237.767,306.8015,5,,
259,resistant,25,72677.404,432.197,233.03,332.6135,5,,
260,resistant,1,54315.375,390.306,226.282,308.294,5,,
260,resistant,2,57376.875,468.947,177.603,323.275,5,,
260,resistant,3,28496.188,227.753,177.221,202.487,5,,
260,resistant,4,45028.312,427.29,153.429,290.3595,5,,
260,resistant,5,47376.375,487.999,147.403,317.701,5,,
260,resistant,6,32722.312,266.813,158.695,212.754,5,,
260,resistant,7,55883.375,524.218,142.723,333.4705,5,,
260,resistant,8,57813.562,375.727,234.192,304.9595,5,,
260,resistant,9,95206.875,516.097,304.095,410.096,5,,
260,resistant,10,79541.25,354.112,321.844,337.978,5,,
260,resistant,11,49729.5,343.996,198.316,271.156,5,,
260,resistant,12,64488.562,441.297,178.798,310.0475,5,,
260,resistant,13,40564.688,424.821,139.62,282.2205,5,,
260,resistant,14,50792.625,393.346,168.912,281.129,5,,
260,resistant,15,82680.75,756.965,171.958,464.4615,5,,
260,resistant,16,80555.75,628.431,191.524,409.9775,5,,
260,resistant,17,64221.75,478.566,216.51,347.538,5,,
260,resistant,18,66836.062,362.735,274.69,318.7125,5,,
260,resistant,19,63720.562,378.762,289.164,333.963,5,,
260,resistant,20,47920.312,315.592,211.15,263.371,5,,
260,resistant,21,58758.562,332.514,238.353,285.4335,5,,
260,resistant,22,79076.812,354.896,306.655,330.7755,5,,
260,resistant,23,61128.375,333.515,245.039,289.277,5,,
260,resistant,24,53783.062,458.443,169.5,313.9715,5,,
260,resistant,25,44501.625,401.41,161.714,281.562,5,,
262,resistant,1,70377,377.876,234.178,306.027,5,,
262,resistant,2,35985.812,243.526,190.743,217.1345,5,,
262,resistant,3,72815.062,452.073,219.561,335.817,5,,
262,resistant,4,77538.375,438.116,233.298,335.707,5,,
262,resistant,5,50917.5,434.431,154.288,294.3595,5,,
262,resistant,6,52298.625,406.34,177.804,292.072,5,,
262,resistant,7,42517.125,292.997,208.991,250.994,5,,
262,resistant,8,71632.688,368.654,248.358,308.506,5,,
262,resistant,9,67682.062,445.211,199.555,322.383,5,,
262,resistant,10,100571.812,561.339,227.169,394.254,5,,
262,resistant,11,55443.188,365.977,213.042,289.5095,5,,
262,resistant,12,51355.688,428.712,166.536,297.624,5,,
262,resistant,13,49623.75,428.386,150.07,289.228,5,,
262,resistant,14,76565.062,415.499,249.408,332.4535,5,,
262,resistant,15,54529.5,292.898,234.289,263.5935,5,,
262,resistant,16,69202.875,406.622,220.087,313.3545,5,,
262,resistant,17,55255.688,409.492,168.467,288.9795,5,,
262,resistant,18,55340.625,295.832,266.702,281.267,5,,
262,resistant,19,59119.688,404.587,197.224,300.9055,5,,
262,resistant,20,53076.938,397.933,197.607,297.77,5,,
262,resistant,21,38143.812,283.602,183.497,233.5495,5,,
262,resistant,22,45072.25,310.511,206.915,258.713,5,,
262,resistant,23,46433.438,354.096,177.698,265.897,5,,
263,resistant,1,40756.5,294.827,198.284,246.5555,5,,
266,resistant,1,53387.812,579.406,130.219,354.8125,5,,
266,resistant,2,78506.812,432.838,268.905,350.8715,5,,
266,resistant,3,70585.5,423.533,221.192,322.3625,5,,
266,resistant,4,42646.312,314.139,203.572,258.8555,5,,
266,resistant,5,65724.75,381.449,207.059,294.254,5,,
266,resistant,6,46247.812,306.655,245.022,275.8385,5,,
266,resistant,7,94889.062,415.785,303.886,359.8355,5,,
266,resistant,8,74274.75,382.798,263.968,323.383,5,,
266,resistant,9,83993.125,521.024,199.085,360.0545,5,,
266,resistant,10,93385.25,553.137,231.01,392.0735,5,,
266,resistant,11,55047.125,369.237,211.895,290.566,5,,
266,resistant,12,68680.875,396.035,263.058,329.5465,5,,
266,resistant,13,53386.5,338.656,219.872,279.264,5,,
266,resistant,14,37116.375,291.425,169.428,230.4265,5,,
266,resistant,15,49616.438,443.141,161.749,302.445,5,,
266,resistant,16,64767.375,398.001,199.017,298.509,5,,
266,resistant,17,50415.562,350.51,224.416,287.463,5,,
270,resistant,1,60165,483.389,200.382,341.8855,5,,
270,resistant,2,45965.25,467.424,135.641,301.5325,5,,
270,resistant,3,52471.312,335.193,278.384,306.7885,5,,
270,resistant,4,61649.25,510.078,151.282,330.68,5,,
270,resistant,5,87712.5,526.308,241.745,384.0265,5,,
270,resistant,6,83022.625,530.034,257.494,393.764,5,,
270,resistant,7,78891.75,559.883,201.474,380.6785,5,,
270,resistant,8,65602,527.243,168.175,347.709,5,,
270,resistant,9,62847.625,584.514,192.718,388.616,5,,
270,resistant,10,72068.062,402.294,232.089,317.1915,5,,
270,resistant,11,57406.312,308.669,244.588,276.6285,5,,
270,resistant,12,56182.312,382.838,193.827,288.3325,5,,
270,resistant,13,69930.188,392.017,212.843,302.43,5,,
270,resistant,14,66694,414.349,238.461,326.405,5,,
270,resistant,15,41438.062,265.313,218.668,241.9905,5,,
270,resistant,16,96297.625,510.969,234,372.4845,5,,
270,resistant,17,98560.125,448.75,353.085,400.9175,5,,
270,resistant,18,51031.188,331.552,211.17,271.361,5,,
270,resistant,19,55523.25,369.038,202.647,285.8425,5,,
270,resistant,20,36585.938,354.184,118.607,236.3955,5,,
270,resistant,21,43161.375,296.501,205.588,251.0445,5,,
270,resistant,22,56484.25,323.514,237.951,280.7325,5,,
270,resistant,23,88609.5,408.182,320.697,364.4395,5,,
270,resistant,24,46878,417.411,143.154,280.2825,5,,
270,resistant,25,54064.125,397.498,189.8,293.649,5,,
271,resistant,1,67076.895,356.736,253.509,305.1225,5,,
271,resistant,2,80535.249,447.699,251.239,349.469,5,,
271,resistant,3,60095.906,379.188,228.351,303.7695,5,,
271,resistant,4,83964.619,437.43,254.64,346.035,5,,
