Individual,BleachingStatus,Egg,Area,Max,Min,Average,depth_m,,
310,resilient,1,22722.031,235.234,132.45,183.842,14,,
310,resilient,2,33725.479,284.338,183.52,233.929,14,,
310,resilient,3,68497.685,556.951,208.19,382.5705,14,,
310,resilient,4,73791.622,370.612,293.358,331.985,14,,
310,resilient,5,25691.422,284.751,130.014,207.3825,14,,
310,resilient,6,40586.428,351.038,166.702,258.87,14,,
310,resilient,7,36163.152,332.968,154.096,243.532,14,,
310,resilient,8,32132.21,265.455,156.612,211.0335,14,,
312,resilient,1,40710.988,262.449,210.95,236.6995,14,,
312,resilient,2,81291.198,519.675,211.643,365.659,14,,
312,resilient,3,81381.65,496.643,244.776,370.7095,14,,
312,resilient,4,92044.585,456.164,318.968,387.566,14,,
312,resilient,5,75172.329,428.152,264.144,346.148,14,,
312,resilient,6,85895.566,603.809,194.912,399.3605,14,,
312,resilient,7,50332.975,373.321,183.429,278.375,14,,
312,resilient,8,61483.973,406.378,188.341,297.3595,14,,
312,resilient,9,66505.55,462.281,176.485,319.383,14,,
312,resilient,10,49878.267,390.348,193.58,291.964,14,,
312,resilient,11,49812.878,361.556,186.254,273.905,14,,
312,resilient,12,73761.66,678.317,221.117,449.717,14,,
312,resilient,13,52572.22,493.758,145.385,319.5715,14,,
312,resilient,14,29259.992,337.154,131.169,234.1615,14,,
312,resilient,15,98126.708,448.272,345.244,396.758,14,,
312,resilient,16,108266.908,628.903,290.439,459.671,14,,
312,resilient,17,43678.369,394.323,206.912,300.6175,14,,
312,resilient,18,50517.459,403.357,182.474,292.9155,14,,
312,resilient,19,102487.798,435.53,338.726,387.128,14,,
313,resilient,1,71820.375,377.43,252.151,314.7905,14,,
313,resilient,2,67828.875,438.545,214.366,326.4555,14,,
313,resilient,3,82988.438,431.401,274.184,352.7925,14,,
313,resilient,4,124030.5,669.546,249.354,459.45,14,,
313,resilient,5,111373.625,557.518,261.873,409.6955,14,,
313,resilient,6,55337,368.266,185.327,276.7965,14,,
313,resilient,7,108049.688,550.082,284.239,417.1605,14,,
313,resilient,8,81839.812,472.88,258.671,365.7755,14,,
313,resilient,9,76713,444.343,275.253,359.798,14,,
313,resilient,10,55789.5,367.24,222.146,294.693,14,,
313,resilient,11,48832.25,377.719,161.044,269.3815,14,,
313,resilient,12,75489.875,497.475,213.156,355.3155,14,,
313,resilient,13,37911,253.428,194.771,224.0995,14,,
313,resilient,14,65482.125,412.238,200.683,306.4605,14,,
313,resilient,15,98143.312,537.57,286.44,412.005,14,,
313,resilient,16,36915.188,406.041,140.17,273.1055,14,,
313,resilient,17,63887.25,416.125,239.741,327.933,14,,
313,resilient,18,104780.25,499.317,307.628,403.4725,14,,
313,resilient,19,58984.688,309.315,240.959,275.137,14,,
313,resilient,20,90433.25,496.795,243.563,370.179,14,,
313,resilient,21,49646.25,327.568,206.012,266.79,14,,
313,resilient,22,59736,401.113,187.683,294.398,14,,
313,resilient,23,41694.375,327.605,164.274,245.9395,14,,
313,resilient,24,42992.438,309.504,188.637,249.0705,14,,
313,resilient,25,73153.75,487.173,191.89,339.5315,14,,
320,resilient,1,38302.875,286.504,190.598,238.551,14,,
320,resilient,2,30823.062,247.073,180.448,213.7605,14,,
320,resilient,3,38540.812,290.71,183.504,237.107,14,,
320,resilient,4,47934,308.939,226.463,267.701,14,,
320,resilient,5,61380.562,348.879,237.859,293.369,14,,
328,resilient,1,64935.75,437.343,228.912,333.1275,14,,
328,resilient,2,23344.125,240.973,134.547,187.76,14,,
328,resilient,3,53943.938,367.087,247.314,307.2005,14,,
328,resilient,4,38259.938,265.814,191.352,228.583,14,,
